,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
0,ADAMANTINA,520.0247588424438,583.3504823151126,544.9353293413174,521.2955089820359,477.0,67.61,664.1337386018237,566.7479636165467,0.09,SP,3500105
1,AGUDOS,513.56875,578.9664772727273,546.9616580310881,529.7020725388601,271.0,68.08,672.1693121693122,568.2736540023976,0.05,SP,3500709
2,AMERICANA,525.836231884058,590.822509057971,556.3018606663783,537.3064906966681,2982.0,75.77000000000001,671.5539947322212,576.3642174074594,0.58,SP,3501608
3,AMPARO,524.8765384615385,584.2616666666667,550.3619283065512,535.8582200247218,1094.0,72.625,665.7537688442211,572.22242446074,0.21,SP,3501905
4,ANDRADINA,495.1769115442279,548.2680659670165,518.3992927864215,507.2753889674682,911.0,75.41499999999999,626.2989840348331,539.0837286599934,0.18,SP,3502101
5,APARECIDA,497.6115511551155,557.806600660066,533.9919003115265,521.8115264797508,485.0,64.33,618.7301587301587,545.9903474673235,0.1,SP,3502507
6,APIAÍ,480.1138996138996,521.6316602316602,517.5400735294118,510.0367647058824,378.0,70.24,598.3582089552239,525.5361214072157,0.07,SP,3502705
7,ARARAQUARA,519.0610070257611,572.9155737704917,550.3614417744917,532.664325323475,3608.0,72.99000000000001,668.1766704416762,568.6358036671793,0.71,SP,3503208
8,ARARAS,530.2464167585447,589.8214994487321,553.0939708939709,533.5428274428275,1286.0,72.67,663.8559322033898,574.112129349493,0.25,SP,3503307
9,ARAÇATUBA,519.5692230576441,581.7301754385965,544.10990521327,528.4577251184834,2772.0,74.045,654.5173745173745,565.6768806690736,0.54,SP,3502804
10,ARAÇOIABA DA SERRA,508.9509174311927,557.2509174311926,532.6347457627119,518.5224576271187,341.0,66.57,632.4561403508771,549.9630357206186,0.07,SP,3502903
11,ARTUR NOGUEIRA,499.5140167364017,546.2228033472803,534.8167664670659,517.512375249501,743.0,65.88,625.3688524590164,544.6869628518531,0.15,SP,3503802
12,ARUJÁ,498.50215605749486,551.0045174537988,540.4962318840579,520.4451207729468,1455.0,69.035,625.3189401373896,547.1533932611376,0.29,SP,3503901
13,ASSIS,506.6830745341615,566.9731366459628,540.100804681785,525.6938551572787,1858.0,71.445,661.3513513513514,560.1604444741077,0.36,SP,3504008
14,ATIBAIA,519.6736233854521,580.1858599592115,550.9174757281553,533.2205825242719,2149.0,70.17,657.0243581303489,568.204379945488,0.42,SP,3504107
15,AURIFLAMA,489.4653571428571,552.2425,516.676736111111,502.9159722222222,361.0,78.67,641.0526315789474,540.4706394110275,0.07,SP,3504206
16,AVARÉ,517.0955242966752,578.2863171355499,544.1288647342996,531.070652173913,1137.0,70.8,651.1685116851169,564.3499740051109,0.22,SP,3504503
17,BARRA BONITA,507.2235655737705,558.6311475409836,536.2533596837945,527.2934782608696,644.0,77.175,645.2738336713996,554.9350769461636,0.13,SP,3505302
18,BARRA DO TURVO,471.2833333333333,491.04583333333335,489.62307692307695,503.24615384615385,53.0,47.17,579.2307692307693,506.8858333333334,0.01,SP,3505401
19,BARRETOS,505.74786392405065,553.1428797468354,525.5686142322097,511.42674157303367,1811.0,71.75999999999999,643.2997676219984,547.8371734196255,0.36,SP,3505500
20,BARRINHA,484.18551401869155,530.538785046729,518.3260089686098,503.522869955157,323.0,67.64500000000001,612.0370370370371,529.7220430052449,0.06,SP,3505609
21,BARUERI,502.23393144081416,556.5226031065881,539.5717545638945,524.176901622718,5605.0,68.495,631.2320916905444,550.7474564849119,1.1,SP,3505708
22,BATATAIS,508.82730720606827,564.1164348925411,535.7846338535414,519.4548619447779,1077.0,75.39,655.1278928136419,556.6622261421142,0.21,SP,3505906
23,BAURU,522.4550861589772,582.724874930517,551.5418248945148,533.5182753164557,5150.0,71.745,655.718901453958,569.1917925508845,1.01,SP,3506003
24,BEBEDOURO,519.2026548672567,577.925331858407,540.147821466525,527.4953241232731,1221.0,75.555,667.7272727272727,566.499681008547,0.24,SP,3506102
25,BERTIOGA,486.63631123919305,525.1170028818444,511.40081300813006,505.189972899729,582.0,61.51,590.2506963788301,523.7189592815454,0.11,SP,3506359
26,BIRIGUI,508.50665417057166,570.3683223992502,539.290403587444,525.6899551569508,1462.0,74.625,637.3857404021937,556.2482151432821,0.29,SP,3506508
27,BOITUVA,511.38021505376344,578.1619354838709,544.8823886639676,530.4133603238866,703.0,68.21000000000001,637.1487603305785,560.3973319712134,0.14,SP,3507001
28,BOTUCATU,528.1354838709677,584.2321879382889,552.8468956406869,532.690819022457,1985.0,74.055,652.4110141034251,570.0632801151652,0.39,SP,3507506
29,BRAGANÇA PAULISTA,516.4543941411451,578.507190412783,546.1044908285895,529.3416824794433,2257.0,68.3,669.7224015493867,568.0260318822695,0.44,SP,3507605
30,CABREÚVA,488.506993006993,547.7744755244755,534.068581081081,517.6527027027028,397.0,73.30000000000001,623.1833910034602,542.2372286637425,0.08,SP,3508405
31,CACHOEIRA PAULISTA,514.4043636363637,567.3243636363637,546.6198630136986,529.5123287671233,392.0,72.32,650.0,561.5721838107098,0.08,SP,3508603
32,CAIEIRAS,498.9690329218107,543.6725308641975,535.7600771456123,519.4525554484089,1474.0,68.145,623.0602171767028,544.1828827113465,0.29,SP,3509007
33,CAJAMAR,489.6017152658662,535.4008576329331,527.14576,512.8393599999999,893.0,67.64,613.7931034482758,535.756159269415,0.18,SP,3509205
34,CAJATI,489.6288043478261,535.2119565217391,526.136923076923,517.1969230769231,275.0,68.91,584.0837696335078,530.4516753313839,0.05,SP,3509254
35,CAJURU,485.8396761133603,532.9174089068827,511.82653846153846,497.73115384615386,326.0,77.75999999999999,632.3735408560311,532.1376636367934,0.06,SP,3509403
36,CAMPINAS,531.283008181246,589.3187644220684,560.4922331067572,540.3427728908437,13720.0,71.205,666.4696290256828,577.5812815253196,2.69,SP,3509502
37,CAMPO LIMPO PAULISTA,502.85451127819545,555.8238721804511,536.3785211267606,516.2514084507042,797.0,69.00999999999999,619.0235081374321,546.0663642347088,0.16,SP,3509601
38,CAMPOS DO JORDÃO,504.37336152219876,559.1408033826638,538.6670707070707,525.2438383838384,645.0,75.035,639.7520661157025,553.4354280222948,0.13,SP,3509700
39,CAPIVARI,515.9474178403756,566.0082159624413,538.8033333333333,525.1231111111111,607.0,72.16,641.6326530612245,557.5029462616972,0.12,SP,3510401
40,CAPÃO BONITO,486.4429234338747,536.1883990719258,522.0602620087336,509.32685589519656,691.0,64.325,601.5695067264573,531.1175894272376,0.14,SP,3510203
41,CARAGUATATUBA,506.0661188369153,566.8341340075854,545.052619047619,527.8494047619048,1224.0,66.625,636.9570552147239,556.5518663737496,0.24,SP,3510500
42,CARAPICUÍBA,483.74443089430895,527.134756097561,525.7690242057489,512.4203479576399,3940.0,64.775,600.7853810264386,529.9707880363395,0.77,SP,3510609
43,CASA BRANCA,510.4063157894737,569.7836842105263,540.5076530612245,523.4061224489797,268.0,72.015,657.2164948453608,560.264054071113,0.05,SP,3510807
44,CATANDUVA,511.0627950310559,572.117453416149,537.1346018735363,525.6357142857144,2153.0,77.055,675.5422408627921,564.2985610938495,0.42,SP,3511102
45,CAÇAPAVA,511.9174836601307,570.1555555555556,541.8576219512195,526.4234756097561,877.0,72.28999999999999,633.3230769230769,556.7354427399478,0.17,SP,3508504
46,CERQUEIRA CÉSAR,513.3109589041095,580.5828767123288,552.8,526.8058441558442,226.0,66.37,633.7414965986394,561.4482352741844,0.04,SP,3511409
47,CERQUILHO,509.8178666666667,574.8461333333333,547.7035805626599,530.2432225063939,517.0,74.08,645.7291666666666,561.667993947144,0.1,SP,3511508
48,COSMÓPOLIS,504.00273972602736,543.4359589041095,536.71974522293,519.2235668789809,477.0,63.525,631.6233766233767,547.001077471085,0.09,SP,3512803
49,COTIA,509.2028955954323,565.7088091353996,543.7966305189775,527.9564291247095,3467.0,72.595,642.3314829500397,557.7992494649118,0.68,SP,3513009
50,CRUZEIRO,512.3256720430107,573.171505376344,547.167898089172,530.1182165605095,1010.0,75.69,672.8871391076116,567.1340862353296,0.2,SP,3513405
51,CUBATÃO,484.5611721611721,535.460927960928,523.8405122235157,512.7279394644936,1244.0,67.445,608.232502965599,532.9646109551416,0.24,SP,3513504
52,CÂNDIDO MOTA,502.07880434782606,549.0798913043478,532.7729591836735,513.8168367346939,251.0,75.7,665.3191489361702,552.6135281013424,0.05,SP,3510005
53,DIADEMA,490.33982976225417,534.3181684766657,530.1696719051557,516.3000000000001,5313.0,66.19999999999999,614.2257515598412,537.0706843407834,1.04,SP,3513801
